ProductID,ProductName,Category
32,Improve Books,Books
24,Quite Automotive,Automotive
39,How Beauty,Health & Beauty
29,Back Automotive,Automotive
7,Themselves Electronics,Electronics
6,Teach Beauty,Health & Beauty
41,Tv Games,Toys & Games
10,Blue Clothing,Clothing
15,Again Electronics,Electronics
16,Cover Electronics,Electronics
19,Large Electronics,Electronics
23,Interview Games,Toys & Games
36,Nothing Books,Books
18,Usually Beauty,Health & Beauty
21,Campaign Grocery,Grocery
38,Trouble Games,Toys & Games
43,Analysis Grocery,Grocery
47,Stand Electronics,Electronics
1,Difficult Electronics,Electronics
28,Well Beauty,Health & Beauty
3,Item Books,Books
25,Relationship Supplies,Pet Supplies
17,Officer Outdoors,Sports & Outdoors
9,Finish Electronics,Electronics
2,Great Supplies,Pet Supplies
37,Stuff Electronics,Electronics
26,Until Books,Books
49,Day Automotive,Automotive
34,Special Clothing,Clothing
50,Child Supplies,Pet Supplies
14,Work Grocery,Grocery
12,Traditional Outdoors,Sports & Outdoors
8,Learn Beauty,Health & Beauty
27,Station Automotive,Automotive
20,Much Supplies,Pet Supplies
5,Director Electronics,Electronics
46,Myself Grocery,Grocery
30,Measure Games,Toys & Games
11,Kid Electronics,Electronics
35,Thousand Grocery,Grocery
22,Beautiful Supplies,Pet Supplies
42,Reality Games,Toys & Games
31,Out Clothing,Clothing
33,Or Supplies,Pet Supplies
13,Party Beauty,Health & Beauty
45,Customer Grocery,Grocery
48,Foreign Books,Books
40,Response Beauty,Health & Beauty
4,Thousand Kitchen,Home & Kitchen
44,Better Kitchen,Home & Kitchen
